x_kf, y_kf, z_kf, u_kf, v_kf, w_kf, phi_kf, theta_kf, psi_kf, Wx_kf, Wy_kf, Wz_kf, Lx_kf, Ly_kf, Lz_kf, Lp_kf, Lq_kf, Lr_kf, da, de, dr, Tc1, Tc2, V, alpha, beta
1.034466315160909,-5.8447548415829775e-06,-5.863789592566726e-07,119.88296509464752,0.7848747744112399,5.123969496501658,-6.909695223888627e-06,0.055233186817489434,0.0001634049649914733,0.014918832956960504,-0.8052358568438818,1.5019516005838933,0.020000015386653306,0.01999987439778268,0.019999179976921494,5.235987934406928e-05,5.2359206081121695e-05,5.2359935951206306e-05,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.0,0.0552440015331838,4.1337798938427e-15
2.1090767262075727,-4.591666192904253e-06,-5.413556501973331e-07,119.87617810085331,0.7782649667471684,5.337665491594717,-3.8843324268020774e-06,0.055240727618403186,8.194124460458059e-05,0.009647981241362628,-0.7885793321869405,1.2891658506503165,0.019998858948325125,0.02000220617174936,0.019998862659290344,5.23599918044592e-05,5.2358814751845596e-05,5.23571919969385e-05,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.0,0.0552440015331838,4.13154829931509e-15
3.210798688893344,-3.8430683647170495e-06,-4.960482849522846e-07,119.86982520291515,0.774898969679273,5.497865040566732,-3.0697014259650467e-06,0.05524268993728506,5.4400389522796296e-05,0.00699489563908933,-0.7818855742770822,1.129125780693949,0.01999555480910088,0.0200059471179131,0.019998826652475016,5.2360212969745416e-05,5.2358390733015146e-05,5.235160496155794e-05,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.0,0.0552440015331839,4.12978642737242e-15
4.331696723002829,-3.4657611471278644e-06,-4.28527683627522e-07,119.86450023390776,0.7726134547862713,5.622526817344199,-2.8126341585472786e-06,0.05524334626320331,4.0458090497783066e-05,0.005301575533393081,-0.7779664455628557,1.004463797016492,0.01998908986266041,0.020010085403508657,0.019999230349988233,5.236053582870698e-05,5.235792917123789e-05,5.234317816921284e-05,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.0,0.0552440015331839,4.12848648567956e-15
5.466657065613821,-3.43438763277387e-06,-3.238075986947553e-07,119.860047960121,0.7708673802939128,5.72229796323054,-2.7777236620879476e-06,0.055243523926175014,3.1974775875812385e-05,0.0041207525708593,-0.7752668283750956,0.9046431993188291,0.019978419553359678,0.020013611216265353,0.020000227487927194,5.23609521313338e-05,5.23574242529147e-05,5.2331909293587356e-05,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.0,0.0552440015331839,4.12763886407776e-15
6.612235785878062,-3.741323314411002e-06,-1.724473173494798e-07,119.85628578504627,0.7694445373230602,5.803957537567713,-2.851926181357634e-06,0.05524348443672432,2.6226612937827466e-05,0.0032557820797871045,-0.7732311514992517,0.8229176557530545,0.019962482638110023,0.02001551787482779,0.02000196807320939,5.236145268410893e-05,5.235686952600143e-05,5.231779420964939e-05,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.0,0.0552440015331839,4.12723238809897e-15
7.766028638983842,-4.3836034382555446e-06,3.157024974391115e-08,119.85306746091084,0.7682369720596852,5.872031775563467,-2.9862792520866534e-06,0.05524333249730391,2.2043598387850428e-05,0.002600874857414189,-0.7716056487119826,0.7547727444782872,0.019940215670295542,0.020014804582676557,0.02000459863893931,5.236202762398371e-05,5.2356258181351676e-05,5.2300827660745695e-05,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.0,0.0552440015331839,4.12725455037786e-15
8.926306259662677,-5.359586986268226e-06,2.9209042429739593e-07,119.85028210439913,0.7671831088547074,5.929657535822071,-3.1560539825060635e-06,0.05524311645157731,1.8839858305615112e-05,0.0020926827945981163,-0.7702556780297406,0.6970762482050629,0.01991056576337506,0.020010480447185088,0.020008262018163896,5.236266661908861e-05,5.235558319877359e-05,5.2281003404670795e-05,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.0,0.0552440015331839,4.12769172151961e-15
10.091792889189566,-6.667771225636736e-06,6.11499340892221e-07,119.84784598929357,0.7662445559539116,5.979076458031466,-3.3473896161451636e-06,0.05524286087613095,1.628956669692618e-05,0.00169063973202388,-0.7691021564984376,0.6475883461082765,0.019872502090282303,0.02000156956403922,0.020013096778626508,5.236335901723128e-05,5.2354837416851487e-05,5.225831417406463e-05,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.0,0.055244001533184,4.12852934188583e-15
11.261526804064095,-8.306244537582598e-06,9.911365880648813e-07,119.84569533223376,0.7653958021106948,6.021932349760361,-3.5519143518456395e-06,0.055242579171629565,1.4197080541239524e-05,0.0013675178207527001,-0.768095080422325,0.6046658466854632,0.01982502670743999,0.019987117034733066,0.02001923641499804,5.236409395962648e-05,5.2354013562710295e-05,5.223275153878243e-05,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0.694974030310678,0.694974030310678,120.0,0.055244001533184,4.12975209567142e-15
